experiment,dataset,model,seed,perturbation,start_time,end_time,macro_avg,yesno_acc,factoid_f1,list_f1,summary_rougeL,count_yesno,count_factoid,count_list,count_summary,runtime,baseline_experiment,baseline_found,macro_avg_delta,yesno_acc_delta,factoid_f1_delta,list_f1_delta,summary_rougeL_delta
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,tinyllama-1.1b-chat,13,clean,2025-12-16T18:53:25.505725Z,2025-12-16T18:54:22.951943Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed13,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,clean,2025-12-16T18:54:23.693027Z,2025-12-16T18:55:22.279363Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,tinyllama-1.1b-chat,97,clean,2025-12-16T18:55:23.013562Z,2025-12-16T18:56:21.971668Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed97,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,tinyllama-1.1b-chat,13,contradiction,2025-12-16T18:56:22.724541Z,2025-12-16T18:57:20.927762Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed13,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,contradiction,2025-12-16T18:57:21.739801Z,2025-12-16T18:58:19.638962Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,tinyllama-1.1b-chat,97,contradiction,2025-12-16T18:58:20.374044Z,2025-12-16T18:59:21.650047Z,0.147944414933117,0.0,0.0689709595959596,0.125,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed97,True,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,2025-12-16T18:59:22.462520Z,2025-12-16T19:00:14.026228Z,0.11461412998464311,0.0,0.0689709595959596,0.0,0.38948556034261284,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed13,True,-0.033330284948473884,0.0,0.0,-0.125,-0.008321139793895593
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,2025-12-16T19:00:14.769155Z,2025-12-16T19:01:03.920261Z,0.143616390169699,0.0,0.0689709595959596,0.047619047619047616,0.4578755534637888,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,-0.004328024763418009,0.0,0.0,-0.07738095238095238,0.06006885332728035
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,2025-12-16T19:01:04.684790Z,2025-12-16T19:01:58.918180Z,0.16199153354484236,0.0,0.09461198523698523,0.11904761904761905,0.4343065298947652,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed97,True,0.014047118611725362,0.0,0.025641025641025633,-0.005952380952380945,0.036499829758256774
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,irrelevant_noise,2025-12-16T19:01:59.647252Z,2025-12-16T19:02:48.009447Z,0.15060292215623097,0.0,0.0689709595959596,0.04761904761904762,0.4858216814099167,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.002658507223113976,0.0,0.0,-0.07738095238095238,0.08801498127340829
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,tinyllama-1.1b-chat,13,lexical_noise_heavy,2025-12-16T19:02:48.741210Z,2025-12-16T19:03:39.659061Z,0.13737457961754362,0.0,0.07402146464646464,0.13333333333333333,0.3421435204903765,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed13,True,-0.010569835315573373,0.0,0.005050505050505041,0.008333333333333331,-0.05566317964613193
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,lexical_noise_heavy,2025-12-16T19:03:40.401908Z,2025-12-16T19:04:34.973531Z,0.15213800987552922,0.0,0.0689709595959596,0.18095238095238095,0.35862869895377636,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.0041935949424122265,0.0,0.0,0.05595238095238095,-0.03917800118273207
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed97,bioasq_TINY,tinyllama-1.1b-chat,97,lexical_noise_heavy,2025-12-16T19:04:35.703812Z,2025-12-16T19:05:21.504600Z,0.17752391782722665,0.0,0.09927398989898989,0.125,0.4858216814099167,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed97,True,0.029579502894109655,0.0,0.03030303030303029,0.0,0.08801498127340829
bioasq_TINY_mps_fp32_lexical_noise_medium_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,lexical_noise_medium,2025-12-16T19:05:22.242672Z,2025-12-16T19:06:09.170820Z,0.15598012921883128,0.0,0.0927804834054834,0.13333333333333333,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.008035714285714285,0.0,0.023809523809523794,0.008333333333333331,0.0
bioasq_TINY_mps_fp32_lexical_noise_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,lexical_noise,2025-12-16T19:06:09.901284Z,2025-12-16T19:07:28.944110Z,0.15643800467670674,0.0,0.09461198523698523,0.13333333333333333,0.39780670013650843,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,0.008493589743589741,0.0,0.025641025641025633,0.008333333333333331,0.0
bioasq_TINY_mps_fp32_shuffle_snippets_seed42,bioasq_TINY,tinyllama-1.1b-chat,42,shuffle_snippets,2025-12-16T19:07:29.668373Z,2025-12-16T19:09:36.323474Z,0.13834568591765845,0.0,0.06592037709622456,0.125,0.36246236657440917,6,6,6,6,mps_fp32,bioasq_TINY_mps_fp32_clean_seed42,True,-0.009598729015458551,0.0,-0.003050582499735041,0.0,-0.03534433356209926
